Word	AFINN	freq	avg_AFINN	sd_AFINN
barje	0	22	0.015	2.150
barka	0	34	0.276	2.304
barometer	0	9	-0.027	1.780
baron	1	9	0.992	1.978
baronica	-2	1	-2.110	0.000
barski	3	1	2.890	0.000
bart	1	3	1.223	2.887
barva	1	116	0.947	1.996
barvanje	0	3	-0.443	1.443
barvast	-2	1	-2.110	0.000
barvati	3	1	2.890	0.000
barven	2	16	2.031	1.691
barvilo	-1	6	-0.693	2.312
barvit	3	1	2.890	0.000
barvitost	2	1	1.640	0.000
barža	0	1	0.390	0.000
bas	-1	1	-0.860	0.000
baseball	0	2	0.390	3.536
baselski	0	10	-0.360	1.054
basist	3	1	2.890	0.000
baški	3	1	2.890	0.000
bašta	1	1	0.807	0.000
bat	2	11	1.526	2.125
bataljon	1	14	0.926	1.748
bataljonski	0	3	0.390	0.000
baterija	2	37	1.934	1.549
baterijski	1	7	1.461	1.247
bati	-1	293	-0.974	1.913
batič	0	1	0.390	0.000
batina	0	1	0.390	0.000
batistov	-3	1	-3.360	0.000
